SlotId,X,Y,W,H
1,423,523,59,47
2,408,603,100,86
3,648,624,95,83
4,652,544,61,41
5,570,448,58,43
6,664,455,52,42
7,659,413,28,22
9,627,421,22,20
10,233,422,39,30
11,289,395,29,29
12,316,371,22,22
13,346,355,26,25
14,373,340,21,22
15,1008,480,31,27
16,978,446,26,25
17,951,420,26,24
18,928,393,20,21
19,902,375,24,21
20,1026,519,40,41
21,1077,569,59,64
22,560,253,19,21
23,588,254,21,21
24,620,250,22,26
25,649,255,20,21
26,680,257,22,21
27,712,254,22,26
28,753,263,22,22
29,777,272,15,20
30,874,346,19,16
31,865,338,12,8
32,395,332,14,13
33,419,321,13,13
34,436,310,11,12
